Treatment,Temperature,CHX,Bio_rep,ImageNumber,Parent_Cell,Cell_Parent_Children_stress_granule_Count
46C_CHX,46C,CHX,BioRep1,5,3,0
46C_CHX,46C,CHX,BioRep1,5,4,1
46C_CHX,46C,CHX,BioRep1,5,5,1
46C_CHX,46C,CHX,BioRep1,5,6,0
46C_CHX,46C,CHX,BioRep1,5,7,4
46C_CHX,46C,CHX,BioRep1,5,8,0
46C_CHX,46C,CHX,BioRep1,5,9,2
46C_CHX,46C,CHX,BioRep1,5,10,0
46C_CHX,46C,CHX,BioRep1,5,11,0
46C_CHX,46C,CHX,BioRep1,5,12,1
46C_CHX,46C,CHX,BioRep1,5,13,0
46C_CHX,46C,CHX,BioRep1,5,14,0
46C_CHX,46C,CHX,BioRep1,5,15,0
46C_CHX,46C,CHX,BioRep1,5,16,0
46C_CHX,46C,CHX,BioRep1,5,17,0
46C_CHX,46C,CHX,BioRep1,6,1,0
46C_CHX,46C,CHX,BioRep1,6,2,0
46C_CHX,46C,CHX,BioRep1,6,3,0
46C_CHX,46C,CHX,BioRep1,6,4,0
46C_CHX,46C,CHX,BioRep1,6,5,0
46C_CHX,46C,CHX,BioRep1,6,6,0
46C_CHX,46C,CHX,BioRep1,6,7,0
46C_CHX,46C,CHX,BioRep1,6,8,0
46C_CHX,46C,CHX,BioRep1,6,9,0
46C_CHX,46C,CHX,BioRep1,6,10,0
